Item Name (My List),Amount (My List),Quantity (My List),Product Name (Selected Product),Category (My List),Product Link (Selected Product),Price (Selected Product),Quantity Available (Selected Product),Confidence Score
Aardbeien,250g,1 pack,AH Nederlandse aardbeien,"Aardappel, groente, fruit",https://www.ah.nl/producten/product/wi48679/ah-nederlandse-aardbeien,2.99,250 g,54.90196078431372
Afwasmiddel,500ml,1 bottle,AH Afwasmiddel original,Huishouden,https://www.ah.nl/producten/product/wi51855/ah-afwasmiddel-original,1.19,"0,5 l",61.81818181818182
Aluminiumfolie,10m,1 roll,AH Aluminiumfolie,Huishouden,https://www.ah.nl/producten/product/wi213910/ah-aluminiumfolie,2.65,30 meter,71.7948717948718
Amandelmelk,1 liter,1 carton,AH Karnemelk,"Zuivel, eieren, boter",https://www.ah.nl/producten/product/wi96644/ah-karnemelk,1.19,1 l,57.142857142857146
Avocado,-,2 pieces,AH Avocado eetrijp,"Aardappel, groente, fruit",https://www.ah.nl/producten/product/wi129400/ah-avocado-eetrijp,2.99,2 stuks,66.66666666666666
Bananen,-,6 pieces,AH Bananen tros,"Aardappel, groente, fruit",https://www.ah.nl/producten/product/wi197393/ah-bananen-tros,1.55,Tros,57.89473684210526
Batterijen,-,1 pack,AH Boterhamzakjes,Huishouden,https://www.ah.nl/producten/product/wi124113/ah-boterhamzakjes,0.99,80 stuks,44.44444444444444
Blauwe bessen,125g,1 pack,AH Blauwe bessen,"Aardappel, groente, fruit",https://www.ah.nl/producten/product/wi177754/ah-blauwe-bessen,3.99,300 g,74.28571428571428
Geraspte kaas,150g,1 pack,AH Geraspte kaas speciaal voor pizza,"Kaas, vleeswaren, tapas",https://www.ah.nl/producten/product/wi197154/ah-geraspte-kaas-speciaal-voor-pizza,2.59,150 g,68.42105263157895
Griekse yoghurt,1kg,1 tub,Campina Griekse stijl yoghurt,"Zuivel, eieren, boter",https://www.ah.nl/producten/product/wi469187/campina-griekse-stijl-yoghurt,3.39,1 kg,80.95238095238095
Havermout,500g,1 pack,AH Leverworst,Ontbijtgranen en beleg,https://www.ah.nl/producten/product/wi576786/ah-leverworst,1.79,115 g,50.0
Keukenpapier,-,2 rolls,AH Keukenpapier sterk & absorberend decor,Huishouden,https://www.ah.nl/producten/product/wi489312/ah-keukenpapier-sterk-en-absorberend-decor,3.19,2 stuks,77.77777777777777
Mager rundergehakt,500g,1 pack,AH Mager rundergehakt,"Vlees, vis",https://www.ah.nl/producten/product/wi187592/ah-mager-rundergehakt,4.99,500 g,80.7017543859649
Magere kwark,500g,2 tubs,AH Magere kwark,"Zuivel, eieren, boter",https://www.ah.nl/producten/product/wi63453/ah-magere-kwark,1.35,500 g,75.55555555555556
Maza Hoemoes,250g,1 tub,AH Poffertjes naturel,"Salades, pizza, maaltijden",https://www.ah.nl/producten/product/wi169846/ah-poffertjes-naturel,2.19,50 stuks,49.056603773584904
Noten Mix gezouten,200g,1 pack,AH Notenmix gezouten,"Chips, noten, toast, popcorn",https://www.ah.nl/producten/product/wi217662/ah-notenmix-gezouten,2.95,150 g,67.85714285714286
Olijfolie,500ml,1 bottle,AH Olijfolie extra vierge,"Soepen, sauzen, kruiden, olie",https://www.ah.nl/producten/product/wi58043/ah-olijfolie-extra-vierge,9.69,1 l,62.857142857142854
Scharrel kipfiletblokjes,400g,1 pack,AH Scharrel kipfiletblokjes,"Vlees, vis",https://www.ah.nl/producten/product/wi533080/ah-scharrel-kipfiletblokjes,4.99,300 g,84.21052631578948
Schoonmaakdoekjes,-,1 pack,AH Schoonmaakazijn,Huishouden,https://www.ah.nl/producten/product/wi101149/ah-schoonmaakazijn,0.69,1 l,62.5
Spinazie,300g,1 bag,AH Spinazie,"Aardappel, groente, fruit",https://www.ah.nl/producten/product/wi395960/ah-spinazie,1.69,400 g,72.22222222222223
Tandenborstels,-,2 pieces,AH Ultra normal met vleugels,Drogisterij,https://www.ah.nl/producten/product/wi476138/ah-ultra-normal-met-vleugels,1.69,20 stuks,45.16129032258065
Tomatensaus,400g,2 cans,AH Tomatenpuree,"Soepen, sauzen, kruiden, olie",https://www.ah.nl/producten/product/wi3527/ah-tomatenpuree,0.65,140 g,54.54545454545455
Vaatwastabletten,-,1 box,Finish Quantum vaatwastabletten,Huishouden,https://www.ah.nl/producten/product/wi570946/finish-quantum-vaatwastabletten,19.99,44 stuks,53.125
Volkoren pasta,500g,1 pack,AH Volkoren pita's,"Pasta, rijst en wereldkeuken",https://www.ah.nl/producten/product/wi459008/ah-volkoren-pita-s,0.75,5 stuks,61.53846153846154
Volkoren rijst,1kg,1 pack,AH Volkoren pita's,"Pasta, rijst en wereldkeuken",https://www.ah.nl/producten/product/wi459008/ah-volkoren-pita-s,0.75,5 stuks,62.745098039215684
Volkorenbrood,800g,1 loaf,Wasa Volkoren,Bakkerij,https://www.ah.nl/producten/product/wi387906/wasa-volkoren,1.95,260 g,54.54545454545455
Vriezerzakjes,-,1 box,AH Lekkerbekjes,Diepvries,https://www.ah.nl/producten/product/wi799/ah-lekkerbekjes,2.99,3 x 100 g,47.82608695652174
Vuilniszakken,-,1 pack,AH Vuilnisemmerzakken 35L,Huishouden,https://www.ah.nl/producten/product/wi565/ah-vuilnisemmerzakken-35l,2.19,20 stuks,60.714285714285715
Wasa Volkoren,275g,1 pack,Wasa Volkoren,Bakkerij,https://www.ah.nl/producten/product/wi387906/wasa-volkoren,1.95,260 g,81.25
Wasmiddel,1 liter,1 bottle,AH Wasmiddel wit,Huishouden,https://www.ah.nl/producten/product/wi570813/ah-wasmiddel-wit,2.99,25 wasbeurten,62.96296296296296
Zalmfilet,250g,1 pack,AH Zalmfilet,"Vlees, vis",https://www.ah.nl/producten/product/wi121453/ah-zalmfilet,5.99,ca. 170 g,65.11627906976744
Zoete aardappelen,-,3 pieces,AH Iets kruimige aardappelen,"Aardappel, groente, fruit",https://www.ah.nl/producten/product/wi111388/ah-iets-kruimige-aardappelen,1.85,1 kg,62.295081967213115
